species	countryCode	n	country	organism_type	synonyms	common_names	broad_habitat	exotic_in	invasive_in	main_reference	checklist	origin	phylum
Anolis sagrei	AI	2	Anguilla	Vertebrate - Reptile	NA	NA	Terrestrial	Grenada;	Grenada;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Bubulcus ibis	AI	148	Anguilla	Vertebrate - Bird	Bulbucus ibis	"Garza ganadera (DR);Cattle Egret;Afrikaanse
koereiger"	Terrestrial	"Bahamas Islands;Turks and Caicos Islands;Dominican
Republic;Curacao;Aruba;Bonaire;Puerto Rico;US Virgin
Islands;Aruba;Barbados;Cuba;"	"Dominican
Republic;Turks and Caicos Islands;Bahamas Islands;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Papilio demoleus	AI	1	Anguilla	"Invertebrate -
Insect"	NA	chequered swallowtail	NA	Jamaica;Cayman Islands;Dominican Republic;	Jamaica;	"CABI,2011. Papilio demoleus. In: Invasive Species Compendium.
Wallingford, UK: CAB International. http://www.cabi.org/isc."	Caribbean_IAS_db	NA	NA
Passer domesticus	AI	2	Anguilla	Vertebrate - Bird	NA	"House sparrow;Gorrion domestico (DR);European
house sparrow;Europese huismuis"	Terrestrial	"Bahamas Islands;Dominican Republic;Curacao;Bermuda;St. Martin;British
Virgin Islands (Tortola Island);Guadeloupe;"	"Bahamas Islands;Bermuda;St. Martin;Curacao;Dominican Republic;British Virgin
Islands (Tortola Island);Guadeloupe;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Pheidole megacephala	AI	50	Anguilla	"Invertebrate -
Insect"	NA	Big-headed ant (ISC)	NA	"Bermuda;Puerto Rico;Cuba;Bahamas;Dominican Republic;Haiti;Jamaica;St.
Vincent-Grenadines;Trinidad-Tobago;"	"Bermuda;Puerto Rico;Cuba;Bahamas;Dominican Republic;Haiti;Jamaica;St. Vincent-
Grenadines;Trinidad-Tobago;"	"CABI,2011. Pheidole megacephala. In: Invasive Species
Compendium. Wallingford, UK: CAB International.
http://www.cabi.org/isc."	Caribbean_IAS_db	NA	NA
Solenopsis invicta	AI	20	Anguilla	"Invertebrate -
Insect"	NA	Red imported fireant;	Terrestrial	"Bahamas Islands;British Virgin Islands;US Virgin Islands;Turks and Caicos Islands
Islands;Antigua-Barbuda;Trinidad-Tobago;Puerto Rico;Cayman Islands (Cayman
Brac,Grand Cayman,Little Cayman);"	"Bahamas
Islands;British Virgin Islands;US Virgin
Islands;Turks and Caicos Islands
Islands;Antigua-Barbuda;Trinidad-Tobago;Cayman Islands (Cayman Brac, Grand
Cayman,Little Cayman);Puerto Rico;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Wasmannia auropunctata	AI	8	Anguilla	"Invertebrate -
Insect"	NA	Little fire ant (Bahamas Islands);	Terrestrial	Bahamas Islands;Bermuda;	Bahamas Islands;Puerto Rico (native);Trinidad-Tobago (native);	NA	Caribbean_IAS_db	NA	NA
Aedes albopictus	BM	1	Bermuda	"Invertebrate -
Insect"	NA	Asian tiger mosquito (ISC)	NA	Cayman Islands;Dominican Republic;Barbados;Trinidad-Tobago;Cuba;	Dominican Republic;Cuba;Cayman Islands;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Anolis aeneus	BM	6	Bermuda	Vertebrate - Reptile	NA	NA	Terrestrial	Trinidad-Tobago;Guyana;	Trinidad-Tobago;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Anolis carolinensis	BM	1	Bermuda	Vertebrate - Reptile	NA	NA	Terrestrial	Anguilla;Cayman Islands;	Anguilla;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Bubulcus ibis	BM	655	Bermuda	Vertebrate - Bird	Bulbucus ibis	"Garza ganadera (DR);Cattle Egret;Afrikaanse
koereiger"	Terrestrial	"Bahamas Islands;Turks and Caicos Islands;Dominican
Republic;Curacao;Aruba;Bonaire;Puerto Rico;US Virgin
Islands;Aruba;Barbados;Cuba;"	"Dominican
Republic;Turks and Caicos Islands;Bahamas Islands;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Hemidactylus mabouia	BM	10	Bermuda	Vertebrate - Reptile	NA	"pegapega;cosmopolitan house gecko;wood
slave;African wood slave;"	Terrestrial	"Curacao;Anguilla;British Virgin Islands;Cayman Islands;Puerto Rico;
Martinique;St. Vincent- Grenadines;Grenada;TrinidadTobago;Dominica;
Venezuela;Guyana;Suriname;"	Curacao;Martinique;Venezuela;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Melanoides tuberculata	BM	1	Bermuda	"Invertebrate -
Mollusc"	NA	Red-rimmed melania(ISC)	"Freshwater
Marine"	"Martinique;Cuba;Dominica;Dominican Republic;Guadeloupe;Montserrat;Puerto
Rico;St. Lucia;Venezuela;Florida;"	"Martinique;Cuba;Dominica;Dominican Republic;Guadeloupe;Montserrat;Puerto Rico;St.
Lucia;Venezuela;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Poecilia reticulata	BM	1	Bermuda	Vertebrate - Fish	NA	Guppy;	Freshwater	"Dominican Republic;Haiti;Martinique;Guadeloupe;Suriname;Costa Rica;French
Guiana;Cuba;Grenada;Jamaica;Puerto Rico;St. Lucia;St. Vincent-Grenadines;"	Dominican Republic;Haiti;Suriname;Costa Rica;French Guiana;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Pomacea canaliculata	BM	1	Bermuda	"Invertebrate -
Mollusc"	NA	Golden apple snail (ISC)	NA	Dominican Republic;	Dominican Republic;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Trididemnum solidum	BM	1	Bermuda	"Invertebrate -
Tunicate"	NA	Benthic colonial ascidian	Marine	Curacao;Bonaire;	Curacao (native);Bonaire (native);	NA	Caribbean_IAS_db	NA	NA
Xanthium strumarium	BM	2	Bermuda	Vertebrate - Fish	NA	Colaspada (DR);	Freshwater	Dominican Republic;Martinique;Bahamas;Jamaica;Puerto Rico;	Dominican Republic;Bahamas;	NA	Caribbean_IAS_db	NA	NA
Bubulcus ibis	MS	423	Montserrat	Vertebrate - Bird	Bulbucus ibis	"Garza ganadera (DR);Cattle Egret;Afrikaanse
koereiger"	Terrestrial	"Bahamas Islands;Turks and Caicos Islands;Dominican
Republic;Curacao;Aruba;Bonaire;Puerto Rico;US Virgin
Islands;Aruba;Barbados;Cuba;"	"Dominican
Republic;Turks and Caicos Islands;Bahamas Islands;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Eleutherodactylus johnstonei	MS	186	Montserrat	"Vertebrate -
Amphibian"	NA	whistling frog;fluitkikker (Curacao);	Terrestrial	Jamaica;Bermuda;Trinidad;Curacao;Anguilla;Martinique;Guadeloupe;	"Jamaica;Curacao;Tri
nidad;Guadeloupe;Martinique;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Euglandina rosea	MS	3	Montserrat	"Invertebrate -
Mollusc"	NA	Rosy predator snail(ISC)	NA	Bermuda;Bahamas Islands;	Bemuda;Bahamas Islands;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Hemidactylus mabouia	MS	22	Montserrat	Vertebrate - Reptile	NA	"pegapega;cosmopolitan house gecko;wood
slave;African wood slave;"	Terrestrial	"Curacao;Anguilla;British Virgin Islands;Cayman Islands;Puerto Rico;
Martinique;St. Vincent- Grenadines;Grenada;TrinidadTobago;Dominica;
Venezuela;Guyana;Suriname;"	Curacao;Martinique;Venezuela;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Iguana iguana	MS	9	Montserrat	Vertebrate - Reptile	NA	common iguana	Terrestrial	"Anguilla;Turks and Caicos Islands;Cayman Islands;Puerto Rico;Netherlands
Antilles;Martinique;St. Lucia;Guadeloupe;St. Martin (France);St. Martin
(Netherlands);"	Anguilla;Cayman Islands;Guadeloupe;Martinique;Puerto Rico;St. Lucia;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Pheidole megacephala	MS	4	Montserrat	"Invertebrate -
Insect"	NA	Big-headed ant (ISC)	NA	"Bermuda;Puerto Rico;Cuba;Bahamas;Dominican Republic;Haiti;Jamaica;St.
Vincent-Grenadines;Trinidad-Tobago;"	"Bermuda;Puerto Rico;Cuba;Bahamas;Dominican Republic;Haiti;Jamaica;St. Vincent-
Grenadines;Trinidad-Tobago;"	"CABI,2011. Pheidole megacephala. In: Invasive Species
Compendium. Wallingford, UK: CAB International.
http://www.cabi.org/isc."	Caribbean_IAS_db	NA	NA
Solenopsis invicta	MS	5	Montserrat	"Invertebrate -
Insect"	NA	Red imported fireant;	Terrestrial	"Bahamas Islands;British Virgin Islands;US Virgin Islands;Turks and Caicos Islands
Islands;Antigua-Barbuda;Trinidad-Tobago;Puerto Rico;Cayman Islands (Cayman
Brac,Grand Cayman,Little Cayman);"	"Bahamas
Islands;British Virgin Islands;US Virgin
Islands;Turks and Caicos Islands
Islands;Antigua-Barbuda;Trinidad-Tobago;Cayman Islands (Cayman Brac, Grand
Cayman,Little Cayman);Puerto Rico;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Tapinoma melanocephalum	MS	13	Montserrat	"Invertebrate -
Insect"	NA	Ghost ant (ISC)	NA	"Anguilla;Cayman Islands;Haiti;Dominican Republic;Puerto Rico;US Virgin
Islands;Martinique;St. Lucia;St. Vincent;Barbados;Trinidad-Tobago;
Dominica;Guadeloupe;Antigua-Barbuda;St. Kitts-Nevis;Bahamas Islands;
Cuba;Jamaica;Aruba;Venezuela;Guyana;Suriname;"	"Aruba;Bahamas Islands;Cuba;Dominica;Dominican Republic;Guadeloupe;Guyana;
Jamaica;Martinique;Puerto Rico;Haiti;St. Vincent;Suriname;Trinidad-Tobago;
Venezuela;US Virgin Isalnds;"	NA	Caribbean_IAS_db	NA	NA
Wasmannia auropunctata	MS	39	Montserrat	"Invertebrate -
Insect"	NA	Little fire ant (Bahamas Islands);	Terrestrial	Bahamas Islands;Bermuda;	Bahamas Islands;Puerto Rico (native);Trinidad-Tobago (native);	NA	Caribbean_IAS_db	NA	NA
Anolis carolinensis	TC	1	Turks and Caicos Islands	Vertebrate - Reptile	NA	NA	Terrestrial	Anguilla;Cayman Islands;	Anguilla;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Anolis sagrei	TC	6	Turks and Caicos Islands	Vertebrate - Reptile	NA	NA	Terrestrial	Grenada;	Grenada;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Erinnyis ello	TC	3	Turks and Caicos Islands	"Invertebrate -
Insect"	NA	sphinx moth;	Terrestrial	Dominican Republic;	Dominican Republic;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Hemidactylus mabouia	TC	3	Turks and Caicos Islands	Vertebrate - Reptile	NA	"pegapega;cosmopolitan house gecko;wood
slave;African wood slave;"	Terrestrial	"Curacao;Anguilla;British Virgin Islands;Cayman Islands;Puerto Rico;
Martinique;St. Vincent- Grenadines;Grenada;TrinidadTobago;Dominica;
Venezuela;Guyana;Suriname;"	Curacao;Martinique;Venezuela;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Paratrechina longicornis	TC	26	Turks and Caicos Islands	"Invertebrate -
Insect"	NA	Crazy ant (ISC)	Terrestrial	"Bahamas Islands;British Virgin Islands;Anguilla;Montserrat;Turks-
Caicos;Cayman Islands;Bermuda;Haiti;Dominican Republic;Puerto Rico;US
Virgin Islands;Aruba;Martinique;St. Lucia;St. Vincent- Grenadines;Grenada;
Barbados;Trinidad-Tobago;Dominica;Guadeloupe; Antigua-Barbuda;St. Kitts-
Nevis;Cuba;Jamaica;St. Martin (France);Venezuela;Guyana;Suriname;"	Bermuda;British Virgin Islands;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
