Search results from the CABI Horizon Scanning Tool <2018-05-16>,,,,,,,,,,,,,,
Cichlasoma nicaraguensis,,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Cichlidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/113307
Cichlasoma spilurum,blue-eyed cichlid,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Cichlidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/113308
Cichlasoma urophthalmum,mayan cichlid,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Cichlidae,,no data,,https://www.cabi.org/isc/datasheet/88479
Cirrhitichthys falco,dwarf hawkfish,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Cirrhitidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/113325
Clarias batrachus,walking catfish,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Siluriformes,Clariidae,,no data,,https://www.cabi.org/cpc/datasheet/88681; https://www.cabi.org/isc/datasheet/88681
Clarias gariepinus,,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Siluriformes,Clariidae,no data,no data,no data,https://www.cabi.org/cpc/datasheet/88683; https://www.cabi.org/isc/datasheet/88683
Colpichthys regis,false grunion,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/113408
Copsychus malabaricus,White-rumped Shama,Vertebrates,ISC (Full),"Documented Species,Host Animal",Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Turdidae,,no data,no data,https://www.cabi.org/isc/datasheet/88140
Coregonus maraena,Maraena whitefish,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Salmoniformes,Salmonidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/113453
Corvus splendens,house crow,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Corvidae,,no data,,https://www.cabi.org/isc/datasheet/15463
Corydoras aeneus,green corydoras,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Siluriformes,Callichthyidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/113491
Cromileptes altivelis,humpback grouper,Vertebrates,ISC (Full),Documented Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Serranidae,,no data,,https://www.cabi.org/isc/datasheet/87544
Ctenopharyngodon idella,grass carp,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,,no data,no data,https://www.cabi.org/cpc/datasheet/16772; https://www.cabi.org/isc/datasheet/16772
Ctenopoma nigropannosum,twospot climbing perch,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Anabantidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/113684
Ctenosaura similis,black spiny-tailed iguana,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Reptilia,Sauria,Iguanidae,,no data,,https://www.cabi.org/cpc/datasheet/86558; https://www.cabi.org/isc/datasheet/86558
Cuora flavomarginata,Yellow-margined box turtle,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Reptilia,Testudines,Emydidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/113689
Cygnus olor,mute swan,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Aves,Anseriformes,Anatidae,,no data,no data,https://www.cabi.org/isc/datasheet/86123
Cynolebias bellottii,Argentine pearlfish,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/113733
Cynolebias nigripinnis,blackfin pearlfish,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/113734
Cynomys,prairie dog,Vertebrates,"CPC (Full) , ISC (Basic)",Pest,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Sciuridae,no data,no data,no data,https://www.cabi.org/cpc/datasheet/17479
Cynops pyrrhogaster,Japanese fire-bellied salamander,Vertebrates,ISC (Basic),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Amphibia,Caudata,Salamandridae,no data,no data,no data,https://www.cabi.org/isc/datasheet/113735
Cynoscion othonopterus,Gulf corvina,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Sciaenidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/113736
Cynoscion xanthulus,orangemouth corvina,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Sciaenidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/113737
Cyprinella lutrensis,red shiner,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,,no data,no data,https://www.cabi.org/isc/datasheet/86206
Cyprinus carpio,common carp,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,,no data,,https://www.cabi.org/cpc/datasheet/17522; https://www.cabi.org/isc/datasheet/17522
Danio malabaricus,Malabar danio,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/113790
Dendrobates auratus,Green and black dart-poison frog,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Amphibia,Anura,Dendrobatidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/113828
Dendrobates leucomelas,Yellow-banded dart-poison frog,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Amphibia,Anura,Dendrobatidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/113829
Dicrurus macrocercus,,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy",Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Dicruridae,,no data,,https://www.cabi.org/cpc/datasheet/85888; https://www.cabi.org/isc/datasheet/85888
Didelphis marsupialis,common opossum,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Marsupalia,Didelphidae,,no data,no data,https://www.cabi.org/cpc/datasheet/84946; https://www.cabi.org/isc/datasheet/84946
Duttaphrynus melanostictus,Asian common toad,Vertebrates,ISC (Full),"Invasive Species,Threatened Species",Eukaryota,Metazoa,Chordata,Amphibia,Anura,Bufonidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/121979
Eleutherodactylus coqui,Caribbean tree frog,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Amphibia,Anura,Leptodactylidae,,no data,,https://www.cabi.org/isc/datasheet/84734
Epinephelus irroratus,Marquesan grouper,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Serranidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/114124
Epinephelus lanceolatus,giant grouper,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Serranidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/83923
Epinephelus ongus,White-streaked grouper,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Serranidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/114125
Equus asinus,donkeys,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Perissodactyla,Equidae,,no data,no data,https://www.cabi.org/isc/datasheet/84021
Equus caballus [ISC],horse,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Mammalia,Perissodactyla,Equidae,,no data,no data,https://www.cabi.org/isc/datasheet/119345
Equus ferus,,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Mammalia,Perissodactyla,Equidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/114139
Erinaceus europaeus,European hedgehog,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Insectivora,Erinaceidae,,no data,no data,https://www.cabi.org/cpc/datasheet/84114; https://www.cabi.org/isc/datasheet/84114
Esox lucius,pike,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii Umbra pygmaea,Esociformes,Esocidae,,no data,,https://www.cabi.org/cpc/datasheet/83118; https://www.cabi.org/isc/datasheet/83118
Esox reicherti,Amur pike,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii Umbra pygmaea,Esociformes,Esocidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/114278
Eunectes murinus,green anaconda,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Reptilia,Serpentes,Boidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/114297
Eunectes notaeus,yellow anaconda,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Reptilia,Serpentes,Boidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/114298
Gambusia affinis,western mosquitofish,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,,no data,no data,https://www.cabi.org/isc/datasheet/82079
Gambusia holbrooki,eastern mosquitofish,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,,no data,no data,https://www.cabi.org/isc/datasheet/82089
Garrulax canorus,Chinese hwamei,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Timaliidae,,no data,,https://www.cabi.org/isc/datasheet/82130
Geophagus brasiliensis,pearl cichlid,Vertebrates,ISC (Full),Documented Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Cichlidae,,no data,,https://www.cabi.org/isc/datasheet/121012
Gila orcuttii,,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/114566
Gillichthys seta,shortjaw mudsucker,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Gobiidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/114570
Girella simplicidens,Gulf opaleye,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Kyphosidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/114571
Glyptoperichthys gibbiceps,leopard pleco,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Siluriformes,Loricariidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/114602
Gramma loreto,fairy basslet,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Grammatidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/114627
Gymnocephalus cernuus,ruffe,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Percidae,,no data,,https://www.cabi.org/cpc/datasheet/80729; https://www.cabi.org/isc/datasheet/80729
Gyrinocheilus aymonieri,Chinese algae-eater,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Cypriniformes,Gyrinocheilidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/114655
Haplochromis callipterus,eastern happy,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Cichlidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/114673
Hemibarbus labeo,barbel steed,Vertebrates,ISC (Full),Documented Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,,no data,,https://www.cabi.org/isc/datasheet/110572
Hemibarbus maculatus,spotted steed,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,,no data,no data,https://www.cabi.org/isc/datasheet/110573
Hemichromis letourneuxi,African jewelfish,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Cichlidae,,no data,,https://www.cabi.org/isc/datasheet/114751
Hemiculter leucisculus,common sawbelly,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,,no data,,https://www.cabi.org/isc/datasheet/110574
Hemidactylus frenatus,common house gecko,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Reptilia,Sauria,Gekkonidae,,no data,,https://www.cabi.org/isc/datasheet/80353
Hemigrammus ocellifer,head-and-taillight tetra,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Characiformes,Characidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/114752
Heniochus diphreutes,,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Chaetodontidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/114760
Heniochus intermedius,Red Sea bannerfish,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Chaetodontidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/114762
Herichthys cyanoguttatus,Rio Grande cichlid,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Cichlidae,,no data,,https://www.cabi.org/isc/datasheet/120933
Herklotsichthys quadrimaculatus,goldspot herring,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Clupeiformes,Clupeidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/114770
Heros severus,banded cichlid,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Cichlidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/114774
Herpestes javanicus,small Indian mongoose,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy",Eukaryota,Metazoa,Chordata,Mammalia,Carnivora,Herpestidae,,no data,no data,https://www.cabi.org/cpc/datasheet/80508; https://www.cabi.org/isc/datasheet/80508
Heterotis niloticus,African bonytongue,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Osteoglossiformes,Arapaimidae,,no data,,https://www.cabi.org/isc/datasheet/80116
Holochilus brasiliensis,,Vertebrates,"CPC (Basic) , ISC (Basic)",Pest,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,no data,no data,no data,https://www.cabi.org/cpc/datasheet/27325
Hoplosternum littorale,armoured catfish,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Siluriformes,Callichthyidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/79822
Hydrochoerus hydrochaeris,capybara,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Hydrochaeridae,no data,no data,no data,https://www.cabi.org/isc/datasheet/114852
Hymenochirus boettgeri,Zaire dwarf clawed frog,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Amphibia,Anura,Pipidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/114893
Hyphessobrycon serpae,serpae tetra,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Characiformes,Characidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/114915
Hypomesus nipponensis,wakasagi,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Osmeriformes,Osmeridae,no data,no data,no data,https://www.cabi.org/isc/datasheet/114921
Hypophthalmichthys molitrix,silver carp,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/79036
Hypostomus plecostomus,suckermouth catfish,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Siluriformes,Loricariidae,,no data,,https://www.cabi.org/isc/datasheet/114927
Hypsoblennius invemar,tessellated blenny,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Blenniidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/114929
Ictalurus furcatus,blue catfish,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Siluriformes,Ictaluridae,,no data,no data,https://www.cabi.org/cpc/datasheet/79120; https://www.cabi.org/isc/datasheet/79120
Ictalurus punctatus,channel catfish,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Siluriformes,Ictaluridae,,no data,,https://www.cabi.org/cpc/datasheet/79127; https://www.cabi.org/isc/datasheet/79127
Kinosternon scorpioides,scorpion mud turtle,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Reptilia,Testudines,Kinosternidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/115065
Labeo chrysophekadion,black sharkminnow,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/115090
Lagurus ovatus,Hare's tail,Vertebrates,"CPC (Basic) , ISC (Basic)","Invasive Species,Host Plant",Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,no data,no data,no data,https://www.cabi.org/cpc/datasheet/115105; https://www.cabi.org/isc/datasheet/115105
Lampropeltis californiae,,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Reptilia,Serpentes,Colubridae,no data,no data,no data,https://www.cabi.org/isc/datasheet/120356
Lates niloticus,Nile perch,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Centropomidae,,no data,,https://www.cabi.org/cpc/datasheet/77994; https://www.cabi.org/isc/datasheet/77994
Leiothrix lutea,red-billed leiothrix,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Timaliidae,,no data,,https://www.cabi.org/isc/datasheet/77034
Lepomis cyanellus,green sunfish,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Centrarchidae,,no data,,https://www.cabi.org/cpc/datasheet/77079; https://www.cabi.org/isc/datasheet/77079
Lepomis gibbosus,pumpkinseed,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Centrarchidae,,no data,,https://www.cabi.org/isc/datasheet/77080
Lepomis gulosus,warmouth,Vertebrates,ISC (Full),"Invasive Species,Threatened Species",Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Centrarchidae,,no data,,https://www.cabi.org/isc/datasheet/109292
Lepomis macrochirus,bluegill,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Threatened Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Centrarchidae,,no data,,https://www.cabi.org/cpc/datasheet/77082; https://www.cabi.org/isc/datasheet/77082
Lepomis microlophus,redear sunfish,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy",Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Centrarchidae,,no data,no data,https://www.cabi.org/cpc/datasheet/77083; https://www.cabi.org/isc/datasheet/77083
Leporinus fasciatus,banded leporinus,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Characiformes,Anostomidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/115220
Lepus europaeus,European hare,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Lagomorpha,Leporidae,,no data,no data,https://www.cabi.org/isc/datasheet/77227
Leuciscus idus,ide,Vertebrates,"CPC (Full) , ISC (Full)","Documented Species,Threatened Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,,no data,,https://www.cabi.org/cpc/datasheet/77315; https://www.cabi.org/isc/datasheet/77315
Leuresthes sardina,Gulf grunion,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/115246
Lonchura punctulata,"munia, spotted",Vertebrates,"CPC (Basic) , ISC (Basic)",Pest,Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Estrildidae,no data,no data,no data,https://www.cabi.org/cpc/datasheet/31120
Loriculus galgulus,Malay lorikeet,Vertebrates,"CPC (Basic) , ISC (Basic)","Pest,Natural Enemy",Eukaryota,Metazoa,Chordata,Aves,Psittaciformes,Psittacidae,no data,no data,no data,https://www.cabi.org/cpc/datasheet/31345
