Search results from the CABI Horizon Scanning Tool <2018-05-16>,,,,,,,,,,,,,,
Loxigilla noctis,brown sparrow,Vertebrates,"CPC (Basic) , ISC (Basic)",Pest,Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Emberizidae,no data,no data,no data,https://www.cabi.org/cpc/datasheet/76721
Lucania parva,rainwater killifish,Vertebrates,ISC (Full),"Documented Species,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,,no data,,https://www.cabi.org/isc/datasheet/76748
Lutjanus kasmira,blueline snapper,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Lutjanidae,,no data,no data,https://www.cabi.org/isc/datasheet/76834
Macaca fascicularis,crab-eating macaque,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,,no data,no data,https://www.cabi.org/isc/datasheet/76108
Macaca mulatta,,Vertebrates,ISC (Basic),"Invasive Species,Threatened Species,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/76105
Macropodus opercularis,paradisefish,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Belontiidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/115452
Malayemys subtrijuga,Malayan snail-eating turtle,Vertebrates,"CPC (Basic) , ISC (Basic)","Invasive Species,Natural Enemy",Eukaryota,Metazoa,Chordata,Reptilia,Testudines,Emydidae,no data,no data,no data,https://www.cabi.org/cpc/datasheet/115464; https://www.cabi.org/isc/datasheet/115464
Marmosa cinerea,,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Mammalia,Marsupalia,Didelphidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/115496
Melanerpes striatus,woodpecker,Vertebrates,"CPC (Basic) , ISC (Basic)",Pest,Eukaryota,Metazoa,Chordata,Aves Picoides borealis,Piciformes,Picidae,no data,no data,no data,https://www.cabi.org/cpc/datasheet/75600
Melanochromis auratus,golden mbuna,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Cichlidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/115554
Melanochromis johannii,bluegray mbuna,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Cichlidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/115555
Melanotaenia nigrans,black-banded rainbowfish,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Atheriniformes,Melanotaeniidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/115557
Menticirrhus nasus,highfin kingfish,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Sciaenidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/115575
Mephitis mephitis,,Vertebrates,"CPC (Basic) , ISC (Basic)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Carnivora,Mustelidae,no data,no data,no data,https://www.cabi.org/cpc/datasheet/75675; https://www.cabi.org/isc/datasheet/75675
Metynnis hypsauchen,silver dollar,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Characiformes,Characidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/115587
Micropogonias megalops,Gulf croaker,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Sciaenidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/115600
Micropterus dolomieu,smallmouth bass,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Centrarchidae,,no data,,https://www.cabi.org/cpc/datasheet/74844; https://www.cabi.org/isc/datasheet/74844
Micropterus salmoides,largemouth bass,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Centrarchidae,,no data,,https://www.cabi.org/cpc/datasheet/74846; https://www.cabi.org/isc/datasheet/74846
Misgurnus anguillicaudatus,oriental weatherloach,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Cypriniformes,Cobitidae,,no data,,https://www.cabi.org/isc/datasheet/75075
Moenkhausia sanctaefilomenae,redeye tetra,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Characiformes,Characidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/115625
Molothrus ater,brown-headed cowbird,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Icteridae,,no data,no data,https://www.cabi.org/cpc/datasheet/75200; https://www.cabi.org/isc/datasheet/75200
Monopterus albus,Asian swamp eel,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Synbranchiformes,Synbranchidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/74114
Morone americana,white perch,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Moronidae,,no data,no data,https://www.cabi.org/isc/datasheet/74160
Mugilogobius cavifrons,mangrove goby,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Gobiidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/115664
Mugilogobius parvus,helmeted goby,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Gobiidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/115665
Muntiacus reevesi,Reeves' muntjac,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Cervidae,,no data,no data,https://www.cabi.org/isc/datasheet/74281
Mus musculus domesticus,mouse,Vertebrates,"CPC (Full) , ISC (Basic)",Pest,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,no data,no data,no data,https://www.cabi.org/cpc/datasheet/35209
Mustela erminea,ermine,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Carnivora,Mustelidae,,no data,no data,https://www.cabi.org/cpc/datasheet/74426; https://www.cabi.org/isc/datasheet/74426
Mustela furo,ferret,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Carnivora,Mustelidae,,no data,no data,https://www.cabi.org/isc/datasheet/74424
Myleus rubripinnis,redhook pacu,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Characiformes,Characidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/115680
Mylopharyngodon piceus,black amur,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,no data,no data,,https://www.cabi.org/cpc/datasheet/73511; https://www.cabi.org/isc/datasheet/73511
Myocastor coypus,coypu,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Myocastoridae,,no data,no data,https://www.cabi.org/isc/datasheet/73537
Nasua narica,white-nosed coati,Vertebrates,"CPC (Full) , ISC (Full)","Documented Species,Natural Enemy",Eukaryota,Metazoa,Chordata,Mammalia,Carnivora,Procyonidae,,no data,no data,https://www.cabi.org/cpc/datasheet/74002; https://www.cabi.org/isc/datasheet/74002
Nasua nasua,ring-tailed coati,Vertebrates,"CPC (Full) , ISC (Full)","Documented Species,Natural Enemy",Eukaryota,Metazoa,Chordata,Mammalia,Carnivora,Procyonidae,,no data,no data,https://www.cabi.org/cpc/datasheet/74001; https://www.cabi.org/isc/datasheet/74001
Neogobius melanostomus,round goby,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Gobiidae,,no data,,https://www.cabi.org/cpc/datasheet/73163; https://www.cabi.org/isc/datasheet/73163
Neovison vison,American mink,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Carnivora,Mustelidae,,no data,no data,https://www.cabi.org/cpc/datasheet/74428; https://www.cabi.org/isc/datasheet/74428
Nothobranchius guentheri,redtail notho,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Cyprinodontiformes,Aplocheilidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/115811
Notropis stramineus,,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,,no data,,https://www.cabi.org/isc/datasheet/119449
Nyctereutes procyonoides,raccoon dog,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Carnivora,Canidae,,no data,no data,https://www.cabi.org/cpc/datasheet/72656; https://www.cabi.org/isc/datasheet/72656
Odocoileus hemionus,black-tailed deer,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Cervidae,,no data,no data,https://www.cabi.org/isc/datasheet/72771
Odontesthes bonariensis,pejerrey,Vertebrates,ISC (Full),"Documented Species,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,,no data,,https://www.cabi.org/isc/datasheet/72773
Omobranchus ferox,fang-toothed blenny,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Blenniidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/115932
Oncorhynchus mykiss,rainbow trout,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Threatened Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Salmoniformes,Salmonidae,,no data,no data,https://www.cabi.org/cpc/datasheet/71813; https://www.cabi.org/isc/datasheet/71813
Oncorhynchus tshawytscha,chinook salmon,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy",Eukaryota,Metazoa,Chordata,Actinopterygii,Salmoniformes,Salmonidae,,no data,,https://www.cabi.org/cpc/datasheet/71815; https://www.cabi.org/isc/datasheet/71815
Ondatra zibethicus,muskrat,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,,no data,no data,https://www.cabi.org/cpc/datasheet/71816; https://www.cabi.org/isc/datasheet/71816
Ophisternon aenigmaticum,obscure swamp eel,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Synbranchiformes,Synbranchidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/71978
Oreochromis aureus,blue tilapia,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Cichlidae,,no data,,https://www.cabi.org/isc/datasheet/72068
Oreochromis mossambicus,Mozambique tilapia,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Threatened Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Cichlidae,no data,no data,no data,https://www.cabi.org/cpc/datasheet/72085; https://www.cabi.org/isc/datasheet/72085
Orthogeomys chirrie,,Vertebrates,"CPC (Basic) , ISC (Basic)",Pest,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Geomyidae,no data,no data,no data,https://www.cabi.org/cpc/datasheet/38056
Oryctolagus cuniculus,rabbits,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Lagomorpha,Leporidae,,no data,no data,https://www.cabi.org/cpc/datasheet/72046; https://www.cabi.org/isc/datasheet/72046
Ovis aries,sheep,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,,no data,no data,https://www.cabi.org/cpc/datasheet/71349; https://www.cabi.org/isc/datasheet/71349
Ovis aries musimon,European mouflon,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,,no data,no data,https://www.cabi.org/isc/datasheet/71353
Oxydoras niger,ripsaw catfish,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Siluriformes,Doradidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/116569
Oxyura jamaicensis,ruddy duck,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Aves,Anseriformes,Anatidae,,no data,no data,https://www.cabi.org/isc/datasheet/71368
Pagrus aurata,,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Sparidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/116079
Palea steindachneri,wattle-necked softshell,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Reptilia,Testudines,Trionychidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/116081
Parablennius thysanius,blenny,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Blenniidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/116119
Parachromis dovii,wolf cichlid,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Cichlidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/116121
Parachromis managuense,jaguar guapote,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Cichlidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/116122
Paralichthys aestuarius,Cortez halibut,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/116130
Parauchenipterus galeatus,,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Siluriformes,Auchenipteridae,no data,no data,no data,https://www.cabi.org/isc/datasheet/116146
Passer domesticus,house sparrow,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Ploceidae,,no data,no data,https://www.cabi.org/cpc/datasheet/38975; https://www.cabi.org/isc/datasheet/38975
Pavo cristatus,,Vertebrates,ISC (Basic),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Aves,Galliformes,Phasianidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/70935
Pelvicachromis pulcher,rainbow krib,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Cichlidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/116196
Perca flavescens,yellow perch,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Percidae,,no data,no data,https://www.cabi.org/cpc/datasheet/70036; https://www.cabi.org/isc/datasheet/70036
Perca fluviatilis,perch,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Percidae,,no data,,https://www.cabi.org/cpc/datasheet/70037; https://www.cabi.org/isc/datasheet/70037
Perccottus glenii,Amur sleeper,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Odontobutidae,,no data,,https://www.cabi.org/isc/datasheet/110577
Peromyscus fraterculus,Northern Baja deermouse,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,,no data,,https://www.cabi.org/isc/datasheet/121705
Pethia conchonius,,Vertebrates,ISC (Full),Documented Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,,no data,,https://www.cabi.org/isc/datasheet/121017
Petromyzon marinus,sea lamprey,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,,no data,,https://www.cabi.org/cpc/datasheet/70237; https://www.cabi.org/isc/datasheet/70237
Phalloceros caudimaculatus,dusky millions fish,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,,no data,,https://www.cabi.org/isc/datasheet/107749
Phasianus colchicus,common pheasant,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Aves,Galliformes,Phasianidae,,no data,no data,https://www.cabi.org/cpc/datasheet/70470; https://www.cabi.org/isc/datasheet/70470
Phenacogrammus interruptus,Congo tetra,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Characiformes,Alestiidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/116252
Phoxinus phoxinus,European minnow,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,,no data,,https://www.cabi.org/isc/datasheet/69626
Phractocephalus hemioliopterus,redtail catfish,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Siluriformes,Pimelodidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/116293
Pimephales promelas,fathead minnow,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,,no data,,https://www.cabi.org/isc/datasheet/69889
Pimephales vigilax,bullhead minnow,Vertebrates,ISC (Full),Documented Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,,no data,,https://www.cabi.org/isc/datasheet/69891
Pipa pipa,Suriname toad,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Amphibia,Anura,Pipidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/116357
Platemys platycephala,grooved sideneck,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Reptilia,Testudines,Chelidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/116383
Platytropius siamensis,false Siamese shark,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Siluriformes,Schilbeidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/116388
Plectorhinchus chaetodonoides,spotted sweetlip,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Haemulidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/116389
Ploceus cucullatus,village weaver bird,Vertebrates,"CPC (Basic) , ISC (Basic)",Pest,Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Ploceidae,no data,no data,no data,https://www.cabi.org/cpc/datasheet/41955; https://www.cabi.org/isc/datasheet/41955
Podarcis sicula,Italian wall lizard,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Reptilia,Sauria,Lacertidae,,no data,,https://www.cabi.org/isc/datasheet/68192
Poecilia hybrid,lyretail black molly,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/116419
Poecilia latipinna,sailfin molly,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,,no data,,https://www.cabi.org/isc/datasheet/68203
Poecilia reticulata,guppy,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,,no data,,https://www.cabi.org/cpc/datasheet/68208; https://www.cabi.org/isc/datasheet/68208
Poecilia vivipara,,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/116421
Pomacanthus annularis,blue ringed angelfish,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Pomacanthidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/116475
Pomacanthus asfur,Arabian angelfish,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Pomacanthidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/116476
Pomacanthus imperator,emperor angelfish,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Pomacanthidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/116477
Pomacanthus maculosus,yellowbar angelfish,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Pomacanthidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/116478
Pomacanthus semicirculatus,semicircle angelfish,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Pomacanthidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/116479
Pomacanthus xanthometopon,bluefaced angelfish,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Pomacanthidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/116480
Pomoxis annularis,white crappie,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Centrarchidae,,no data,,https://www.cabi.org/isc/datasheet/68535
